dt_trading,Dec 19,Jan 20,Feb 20,Mar 20,Apr 20,May 20,Jun 20
2019-11-01,16.177,16.851,16.986,16.705,15.942,15.64,15.431
2019-11-04,16.478,17.078,17.213,16.928,16.159,15.887,15.872
2019-11-05,16.789,17.321,17.477,17.189,16.439,16.059,15.942
2019-11-06,16.281,16.901,17.056,16.756,15.981,15.669,15.552
2019-11-07,16.118,16.725,16.905,16.585,15.805,15.505,15.391
2019-11-08,15.942,16.59,16.765,16.456,15.669,15.329,15.224
2019-11-11,15.845,16.455,16.637,16.342,15.563,15.222,15.101
2019-11-12,15.546,16.237,16.425,16.167,15.367,14.973,14.836
2019-11-13,15.451,16.248,16.422,16.151,15.326,15.034,14.826
2019-11-14,15.669,16.564,16.75,16.45,15.625,15.276,15.125
2019-11-15,15.713,16.731,16.921,16.612,15.761,15.397,15.223
2019-11-18,15.229,16.346,16.525,16.227,15.406,15.083,14.925
2019-11-19,15.292,16.356,16.531,16.231,15.404,15.106,14.949
2019-11-20,15.588,16.538,16.713,16.408,15.567,15.251,15.103
2019-11-21,15.624,16.552,16.752,16.448,15.66,15.343,15.19
2019-11-22,16.048,16.854,17.051,16.762,15.957,15.651,15.502
2019-11-25,16.237,16.882,17.074,16.769,16.049,15.718,15.57
2019-11-26,15.849,16.523,16.705,16.405,15.66,15.382,15.235
2019-11-27,15.98,16.705,16.877,16.587,15.837,15.541,15.406
2019-11-28,15.649000000000001,16.451,16.645,16.325,15.515,15.259,15.075
2019-11-29,,16.33,16.529,16.205,15.341,15.076,14.894
2019-12-02,,15.81,16.029,15.718,14.929,14.677,14.502
2019-12-03,,15.771,15.975999999999999,15.682,14.909,14.609,14.409
2019-12-04,,15.882,16.062,15.782,14.972,14.647,14.422
2019-12-05,,15.415,15.674,15.356,14.607,14.292,14.082
2019-12-06,,15.141,15.374,15.049,14.336,14.008,13.801
2019-12-09,,14.888,15.068,14.787,14.097,13.797,13.558
2019-12-10,,14.532,14.733,14.46,13.864,13.581,13.428
2019-12-11,,14.047,14.319,14.053,13.478,13.256,13.095
2019-12-12,,14.768,15.079,14.801,14.103,13.838,13.672
2019-12-13,,13.804,14.103,13.868,13.371,13.159,12.914
2019-12-16,,13.89,14.167,13.902,13.43,13.199,13.026
2019-12-17,,14.461,14.651,14.38,13.786,13.573,13.437
2019-12-18,,14.951,15.134,14.835,14.095,13.895,13.745
2019-12-19,,15.007,15.227,14.97,14.272,14.044,13.893
2019-12-20,,14.235,14.518,14.332,13.89,13.69,13.568
2019-12-23,,13.027,13.314,13.2,12.93,12.751,12.581
2019-12-24,,12.607,12.9,12.8,12.49,12.306,12.152
2019-12-27,,12.767,13.04,12.865,12.483,12.308,12.154
2019-12-30,,12.293,12.618,12.488,12.063,11.888,11.714
2019-12-31,,,12.051,11.951,11.656,11.521,11.408
2020-01-02,,,12.073,11.959,11.661,11.488,11.383
2020-01-03,,,12.985,12.884,12.661,12.577,12.445
2020-01-06,,,12.28,12.255,12.105,12.058,11.943
2020-01-07,,,11.929,11.909,11.777,11.699,11.599
2020-01-08,,,11.964,11.939,11.793,11.703,11.628
2020-01-09,,,12.179,12.104,11.993,11.876,11.807
2020-01-10,,,11.94,11.893,11.766,11.641,11.564
2020-01-13,,,12.054,11.964,11.850999999999999,11.747,11.657
2020-01-14,,,11.303,11.235,11.15,11.11,11.025
2020-01-15,,,11.179,11.118,11.08,10.974,10.922
2020-01-16,,,11.117,11.067,11.005,10.88,10.796
2020-01-17,,,10.929,10.875,10.850999999999999,10.784,10.714
2020-01-20,,,10.566,10.566,10.578,10.538,10.495
2020-01-21,,,10.777,10.737,10.722,10.691,10.642
2020-01-22,,,10.455,10.455,10.434,10.397,10.328
2020-01-23,,,10.428,10.391,10.366,10.324,10.273
2020-01-24,,,10.455,10.415,10.383,10.371,10.328
2020-01-27,,,10.526,10.47,10.44,10.4,10.37
2020-01-28,,,10.792,10.777,10.775,10.75,10.766
2020-01-29,,,10.15,10.16,10.19,10.186,10.155
2020-01-30,,,9.781,9.837,9.91,9.959,9.939
2020-01-31,,,,9.755,9.861,9.915,9.945
2020-02-03,,,,9.211,9.391,9.501,9.588
2020-02-04,,,,9.366,9.561,9.676,9.82
2020-02-05,,,,9.313,9.488,9.563,9.74
2020-02-06,,,,9.149,9.349,9.474,9.635
2020-02-07,,,,9.068,9.293,9.474,9.641
2020-02-10,,,,8.643,8.936,9.175,9.339
2020-02-11,,,,8.557,8.837,9.116,9.291
2020-02-12,,,,8.722,8.989,9.276,9.481
2020-02-13,,,,8.889,9.178,9.478,9.682
2020-02-14,,,,8.879,9.24,9.56,9.785
2020-02-17,,,,9.312,9.739,10.079,10.259
2020-02-18,,,,9.38,9.693999999999999,9.991,10.188
2020-02-19,,,,9.572,9.698,9.958,10.127
2020-02-20,,,,9.567,9.699,9.828,9.972
2020-02-21,,,,9.41,9.45,9.675,9.835
2020-02-24,,,,9.044,8.995,9.17,9.281
2020-02-25,,,,9.007,8.916,9.084,9.161
2020-02-26,,,,9.071,9.012,9.15,9.252
2020-02-27,,,,8.871,8.804,8.92,8.97
